// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 07782926
//  ProductCode: MTi-G-710-2A8G4
//  Firmware Version: 1.16.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: GeneralNoBaro(2.20)
//  Option Flags: Beidou Enabled, Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: NED
PacketCounter	Mag_X	Mag_Y	Mag_Z
00001	-0.004814	0.592483	-0.218323
00002	-0.005302	0.594962	-0.217294
00003	-0.003863	0.594449	-0.217281
00004	-0.003825	0.594459	-0.215286
00005	-0.003815	0.594462	-0.214787
00006	-0.006240	0.593494	-0.217332
00007	-0.006752	0.593987	-0.218827
00008	-0.007721	0.595977	-0.218312
00009	-0.006760	0.595470	-0.218305
00010	-0.006735	0.594982	-0.217316
00011	-0.005789	0.594966	-0.217800
00012	-0.005284	0.593481	-0.217317
00013	-0.004789	0.591994	-0.217333
00014	-0.005259	0.592993	-0.216328
00015	-0.005752	0.593490	-0.216826
00016	-0.004853	0.594948	-0.218783
00017	-0.005352	0.595939	-0.219274
00018	-0.006238	0.594980	-0.216311
00019	-0.004776	0.592493	-0.216328
00020	-0.004816	0.593472	-0.217809
00021	-0.005300	0.593973	-0.217808
00022	-0.007191	0.594004	-0.216839
00023	-0.006253	0.592996	-0.218337
00024	-0.006261	0.594479	-0.217815
00025	-0.006739	0.594486	-0.217822
00026	-0.005787	0.593976	-0.218314
00027	-0.004815	0.594958	-0.216789
00028	-0.006254	0.595471	-0.216802
00029	-0.005791	0.593480	-0.218820
00030	-0.004354	0.593957	-0.218293
00031	-0.004782	0.592986	-0.216321
00032	-0.007174	0.594998	-0.215328
00033	-0.008199	0.595983	-0.218319
00034	-0.008204	0.594001	-0.219845
00035	-0.005762	0.593488	-0.217324
00036	-0.004801	0.595457	-0.215784
00037	-0.004807	0.595950	-0.215776
00038	-0.005277	0.594474	-0.216305
00039	-0.005778	0.593979	-0.217815
00040	-0.006741	0.595475	-0.217308
00041	-0.005737	0.593000	-0.216335
00042	-0.005739	0.593989	-0.215821
00043	-0.006685	0.594005	-0.215336
00044	-0.009069	0.592058	-0.216400
00045	-0.008645	0.592532	-0.218878
00046	-0.005774	0.594475	-0.217309
00047	-0.004805	0.594961	-0.216290
00048	-0.005283	0.594967	-0.216297
00049	-0.005294	0.593479	-0.217816
00050	-0.006286	0.594968	-0.218804
00051	-0.004863	0.594945	-0.219282
00052	-0.004360	0.594450	-0.218285
00053	-0.004834	0.594953	-0.217786
00054	-0.005287	0.594471	-0.216803
00055	-0.006226	0.593993	-0.216327
00056	-0.005296	0.594469	-0.217302
00057	-0.004834	0.594953	-0.217786
00058	-0.007687	0.595491	-0.216823
00059	-0.005277	0.594474	-0.216305
00060	-0.003838	0.593961	-0.216291
00061	-0.005775	0.592989	-0.218329
00062	-0.006263	0.592993	-0.218835
00063	-0.006263	0.592993	-0.218835
00064	-0.005785	0.592987	-0.218828
00065	-0.005315	0.594463	-0.218299
00066	-0.006263	0.595469	-0.217301
00067	-0.005261	0.593983	-0.215814
00068	-0.005230	0.593001	-0.214832
00069	-0.006240	0.593494	-0.217332
00070	-0.006273	0.595466	-0.217799
00071	-0.005786	0.595462	-0.217294
00072	-0.006745	0.594979	-0.217814
00073	-0.006748	0.594483	-0.218321
00074	-0.006747	0.595969	-0.217300
00075	-0.006242	0.594484	-0.216818
00076	-0.006259	0.593489	-0.218329
00077	-0.005803	0.594468	-0.218805
00078	-0.005312	0.594960	-0.217793
00079	-0.005309	0.593970	-0.218307
00080	-0.007185	0.593510	-0.216847
00081	-0.006690	0.592023	-0.216863
00082	-0.006731	0.593002	-0.218344
00083	-0.004849	0.595444	-0.218277
00084	-0.004844	0.594950	-0.218285
00085	-0.005344	0.594456	-0.219795
00086	-0.005329	0.593965	-0.219304
00087	-0.005804	0.592982	-0.219825
00088	-0.006263	0.592993	-0.218835
00089	-0.004826	0.593470	-0.218308
00090	-0.005818	0.594959	-0.219296
00091	-0.005797	0.593974	-0.218813
00092	-0.004813	0.593969	-0.217303
00093	-0.005755	0.594480	-0.216312
00094	-0.007159	0.594507	-0.214837
00095	-0.006246	0.593988	-0.217324
00096	-0.006267	0.594973	-0.217807
